log_id,scooter_id,maintenance_date,issue_type,cost_usd,technician_id
LOG00001,SC0110,2024-06-14T05:25:32,display_fault,-400.18,TECH16
LOG00002,SC0053,2024-09-20T17:26:14,battery_replacement,736.25,TECH20
LOG00003,SC0148,2024-07-05T19:47:58,throttle_repair,392.12,TECH04
LOG00004,SC0081,2024-04-29T16:10:32,motor_issue,745.9,TECH13
LOG00005,SC0129,2024-12-13T20:51:47,battery_replacement,156.51,TECH02
LOG00006,SC0161,2025-09-27T00:00:00,frame_damage,522.49,TECH18
LOG00007,SC0115,2024-02-06T08:40:06,tire_puncture,665.49,TECH10
LOG00008,SC0184,2024-11-29T18:29:37,throttle_repair,478.47,TECH09
LOG00009,SC0074,2025-04-10T18:46:21,display_fault,217.43,TECH03
LOG00010,SC0017,2025-04-04T15:33:24,motor_issue,768.47,TECH16
LOG00011,SC0025,2024-04-13T07:54:17,motor_issue,89.77,TECH11
LOG00012,SC0009,2025-05-01T18:46:35,frame_damage,378.4,TECH17
LOG00013,SC0090,2025-05-14T17:59:38,motor_issue,773.0,TECH01
LOG00014,SC0107,2024-01-26T19:15:27,display_fault,780.69,TECH01
LOG00015,SC0104,2024-08-11T17:39:06,battery_replacement,356.17,TECH18
LOG00016,SC0023,2025-05-13T09:08:28,frame_damage,794.48,TECH04
LOG00017,SC0071,2024-05-26T08:32:44,tire_puncture,207.53,TECH16
LOG00018,SC0192,2024-12-18T08:15:38,tire_puncture,61.07,TECH20
LOG00019,SC0095,2024-11-05T22:14:38,brake_repair,222.13,TECH14
LOG00020,SC0146,2025-01-13T11:36:48,motor_issue,61.58,TECH07
LOG00021,SC0131,2024-09-20T19:11:17,throttle_repair,708.03,TECH16
LOG00022,SC0180,2025-05-06T07:01:29,throttle_repair,516.91,TECH06
LOG00023,SC0013,2025-06-05T18:33:00,throttle_repair,390.81,TECH18
LOG00024,SC0107,2025-05-05T19:23:29,brake_repair,-354.31,TECH17
LOG00025,SC0105,2025-05-19T17:53:26,throttle_repair,298.83,TECH17
LOG00026,SC0064,2024-08-12T18:48:49,display_fault,128.66,TECH15
LOG00027,SC0119,2025-03-15T09:53:16,software_update,657.87,TECH15
LOG00028,SC0035,2024-03-25T09:57:43,display_fault,203.18,TECH16
LOG00029,SC0163,2025-04-18T21:09:37,general_service,620.23,TECH20
LOG00030,SC0140,2024-11-14T17:38:09,frame_damage,257.11,TECH01
LOG00031,SC0032,2024-04-19T12:58:01,frame_damage,64.3,TECH06
LOG00032,SC0088,2024-11-11T01:58:46,tire_puncture,588.91,TECH05
LOG00033,SC0110,2024-10-23T14:43:17,general_service,519.23,TECH03
LOG00034,SC0091,2025-01-30T15:39:10,throttle_repair,390.68,TECH13
LOG00035,SC0082,2025-04-21T18:44:43,general_service,323.1,TECH08
LOG00036,SC0034,2025-04-21T01:26:42,throttle_repair,656.49,TECH17
LOG00037,SC0167,2024-09-19T14:27:24,software_update,475.35,TECH09
LOG00038,SC0181,2024-06-21T07:35:58,tire_puncture,727.21,TECH15
LOG00039,SC0046,2024-03-11T20:20:52,display_fault,395.29,TECH06
LOG00040,SC0091,2024-02-03T18:58:00,battery_replacement,686.77,TECH16
LOG00041,SC0107,2024-08-21T08:48:51,software_update,362.32,TECH03
LOG00042,SC0059,2024-05-15T08:35:28,frame_damage,56.83,TECH08
LOG00043,SC0103,2024-01-19T10:09:08,frame_damage,758.94,TECH11
LOG00044,SC0061,2025-05-12T06:41:05,brake_repair,314.09,TECH13
LOG00045,SC0107,2024-05-10T17:50:43,display_fault,595.74,TECH02
LOG00046,SC0193,2025-06-23T09:48:02,throttle_repair,644.4,TECH04
LOG00047,SC0125,2025-04-10T09:29:18,tire_puncture,475.68,TECH12
LOG00048,SC0167,2025-03-17T14:31:43,brake_repair,544.22,TECH04
LOG00049,SC0101,2025-01-22T17:04:23,display_fault,99.62,TECH16
LOG00050,SC0068,2024-07-03T09:57:33,motor_issue,321.81,TECH01
LOG00051,SC0287,2025-02-15T21:57:25,throttle_repair,662.16,TECH17
LOG00052,SC0095,2024-03-19T15:05:29,display_fault,797.18,TECH20
LOG00053,SC0135,2024-06-11T12:57:06,throttle_repair,312.7,TECH12
LOG00054,SC0029,2024-11-05T06:37:48,brake_repair,417.13,TECH03
LOG00055,SC0252,2024-11-09T13:57:24,software_update,738.49,TECH18
LOG00056,SC0143,2024-04-09T13:39:54,motor_issue,663.93,TECH13
LOG00057,SC0111,2025-05-26T12:26:45,software_update,594.18,TECH04
LOG00058,SC0121,2024-05-25T12:53:51,throttle_repair,435.11,TECH18
LOG00059,SC0078,2025-01-19T17:03:10,motor_issue,176.54,TECH10
