trip_id,user_id,scooter_id,city,start_time,end_time,distance_km,fare_mxn,payment_method
TRIP02755,USR0147,SC0043,Ciudad de Mexico,2024-02-23T08:06:36,2024-02-23T08:23:36,4.31,66.8,qr_code
TRIP01764,USR0251,SC0085,cdmx,2025-03-17T16:50:01,2025-03-17T17:43:01,13.71,216.64,wallet
TRIP00952,USR0117,SC0197,Monterrey,2025-03-27T15:12:02,2025-03-27T15:21:02,9.11,121.34,credit_card
TRIP04336,,SC0117,cdmx,2024-07-25T09:18:03,2024-07-25T09:45:03,6.65,113.66,qr_code
TRIP02305,USR0299,SC0017,CDMX,2024-12-04T18:54:12,2024-12-04T20:21:12,4.41,50.88,wallet
TRIP01487,USR0032,SC0218,Ciudad de Mexico,2024-08-17T20:41:53,2024-08-17T22:01:53,9.71,152.55,wallet
TRIP02254,USR0342,SC0080,cdmx,2024-09-23T14:28:45,2024-09-23T15:02:45,8.12,135.42,qr_code
TRIP02119,USR0020,SC0096,Ciudad de Mexico,2024-11-13T09:15:21,2024-11-13T10:15:21,12.86,$173.94,debit_card
TRIP01834,USR0324,SC0190,cdmx,2024-03-06T16:30:55,2024-03-06T16:36:55,0.8,17.12,debit_card
TRIP01368,USR0166,SC0151,Guadalajara,2024-11-07T10:48:43,2024-11-07T11:21:43,13.9,163.97,credit_card
TRIP02153,USR0133,SC0069,CDMX,2024-04-28T17:32:19,2024-04-28T18:23:19,6.87,73.63,credit_card
TRIP02093,USR0342,SC0075,Monterrey,2024-12-10T07:14:44,2024-12-10T08:06:44,8.43,115.29,wallet
TRIP03906,USR0091,SC0190,CDMX,2024-05-16T05:48:06,2024-05-16T06:55:06,5.26,68.78,credit_card
TRIP02992,USR0132,SC0177,Ciudad de Mexico,2024-06-06T18:47:00,2024-06-06T19:57:00,1.13,23.23,wallet
TRIP00493,USR0322,SC0004,Ciudad de Mexico,2024-02-15T09:32:56,2024-02-15T10:30:56,0.85,16.55,debit_card
TRIP03708,USR0086,SC0036,Monterrey,2024-11-21T14:04:36,2024-11-21T14:10:36,1.57,30.45,qr_code
TRIP03198,USR0455,SC0139,MTY,2025-05-08T21:59:57,2025-05-08T22:50:57,8.51,$90.04,credit_card
TRIP04009,USR0451,SC0109,cdmx,2024-10-16T14:39:25,2024-10-16T14:59:25,12.77,$172.40,credit_card
TRIP04825,USR0464,SC0026,Ciudad de Mexico,2025-04-01T08:49:06,2025-04-01T09:49:06,12.69,$146.58,debit_card
TRIP02037,USR0413,SC0176,Ciudad de Mexico,2025-05-29T14:42:29,2025-05-29T14:55:29,13.89,179.12,debit_card
TRIP01848,USR0048,SC0191,Ciudad de Mexico,2024-10-22T08:52:16,2024-10-22T09:42:16,1.91,33.29,credit_card
TRIP02186,USR0041,SC0009,cdmx,2024-02-23T13:36:04,2024-02-23T14:13:04,6.78,77.78,credit_card
TRIP00442,USR0157,SC0081,MTY,2025-05-07T07:30:12,2025-05-07T07:54:12,0.0,88.93,cash
TRIP04134,USR0317,SC0186,CDMX,2024-12-05T14:44:57,2024-12-05T15:51:57,4.36,44.97,qr_code
TRIP01370,USR0008,SC0012,MTY,2025-03-10T07:53:27,2025-03-10T08:28:27,13.88,188.36,wallet
TRIP02417,USR0147,SC0124,Monterrey,2024-05-10T10:18:52,2024-05-10T11:32:52,0.72,17.18,credit_card
TRIP03090,USR0016,SC0012,Monterrey,2024-08-29T17:14:58,2024-08-29T17:30:58,1.04,28.61,cash
TRIP00062,USR0358,SC0039,GDL,2024-03-27T11:50:21,2024-03-27T12:11:21,11.21,156.36,wallet
TRIP00044,USR0190,SC0175,Guadalajara,2025-03-05T18:56:26,2025-03-05T20:24:26,6.42,99.61,wallet
TRIP01625,USR0082,SC0040,Monterrey,2025-06-19T09:50:28,2025-06-19T10:56:28,14.2,200.09,debit_card
TRIP00674,USR0037,SC0056,Monterrey,2024-05-23T07:47:37,2024-05-23T08:11:37,4.49,60.76,qr_code
TRIP01740,USR0266,SC0186,cdmx,2025-01-31T08:37:40,2025-01-31T09:15:40,5.56,94.39,wallet
TRIP02101,USR0447,SC0022,MTY,2024-09-07T16:34:16,2024-09-07T17:12:16,9.21,117.63,qr_code
TRIP03556,USR0017,SC0053,CDMX,2025-06-09T14:00:09,2025-06-09T15:17:09,8.03,89.07,debit_card
TRIP01614,USR0215,SC0115,Guadalajara,2025-05-22T07:21:54,2025-05-22T08:08:54,12.43,162.69,qr_code
TRIP01703,USR0404,SC0022,Monterrey,2024-10-18T10:27:35,2024-10-18T11:56:35,14.95,222.62,wallet
TRIP00587,USR0060,SC0031,GDL,2024-11-30T10:29:40,2024-11-30T11:39:40,10.48,154.87,qr_code
TRIP03741,USR0250,SC0129,GDL,2025-04-11T07:13:19,2025-04-11T07:47:19,7.22,118.6,debit_card
TRIP02513,USR0068,SC0123,MTY,2025-04-22T08:20:19,2025-04-22T08:59:19,4.56,59.91,qr_code
TRIP03048,USR0098,SC0098,Monterrey,2024-05-13T11:10:51,2024-05-13T12:22:51,12.73,197.86,cash
TRIP01338,USR0049,SC0133,GDL,2024-05-03T15:30:06,2024-05-03T16:23:06,5.57,76.65,credit_card
TRIP00465,USR0088,SC0139,MTY,2024-01-01T06:33:57,2024-01-01T07:15:57,8.87,126.96,cash
TRIP04771,USR0436,SC0102,Monterrey,2024-12-10T11:11:20,2024-12-10T11:56:20,5.09,76.25,debit_card
TRIP03982,USR0422,SC0111,GDL,2024-03-05T17:12:40,2024-03-05T17:36:40,8.6,116.74,cash
TRIP03311,USR0402,SC0071,Ciudad de Mexico,2024-01-13T09:09:10,2024-01-13T09:28:10,11.27,112.94,cash
TRIP01077,USR0419,SC0107,cdmx,2024-03-19T07:44:29,2024-03-19T08:30:29,8.26,132.17,cash
TRIP04743,USR0289,SC0189,cdmx,2024-11-28T13:57:50,2024-11-28T14:28:50,10.4,114.92,debit_card
TRIP01238,USR0186,SC0027,Ciudad de Mexico,2024-11-12T19:47:17,2024-11-12T20:58:17,7.76,110.01,qr_code
TRIP02215,USR0347,SC0007,Guadalajara,2024-01-01T08:24:21,2024-01-01T09:03:21,13.93,135.34,credit_card
TRIP04416,USR0097,SC0128,Guadalajara,2025-04-02T18:35:45,2025-04-02T19:52:45,8.95,120.98,debit_card
TRIP03032,,SC0181,MTY,2024-02-09T13:08:10,2024-02-09T14:32:10,6.16,$80.52,cash
TRIP04748,USR0215,SC0146,CDMX,2024-04-16T07:09:28,2024-04-16T07:48:28,1.78,40.86,wallet
TRIP01211,,SC0172,MTY,2024-03-05T10:04:23,2024-03-05T10:34:23,3.84,69.5,credit_card
TRIP03983,,SC0033,MTY,2025-03-02T14:26:07,2025-03-02T15:51:07,12.01,163.58,cash
TRIP04157,USR0032,SC0125,cdmx,2024-04-17T07:58:48,2024-04-17T09:17:48,14.77,$195.97,wallet
TRIP01660,USR0296,SC0037,GDL,2024-11-08T16:22:16,2024-11-08T17:03:16,8.85,106.52,wallet
TRIP01876,USR0111,SC0011,Ciudad de Mexico,2024-04-22T09:43:42,2024-04-22T11:04:42,13.46,220.02,credit_card
TRIP04544,USR0357,SC0131,Ciudad de Mexico,2024-03-18T13:19:54,2024-03-18T14:03:54,9.95,118.26,debit_card
TRIP00688,USR0130,SC0185,Ciudad de Mexico,2025-05-17T18:08:25,2025-05-17T18:40:25,10.61,116.0,qr_code
TRIP01048,USR0297,SC0005,MTY,2025-03-31T13:48:39,2025-03-31T14:45:39,4.92,79.3,credit_card
TRIP00904,USR0240,SC0068,Ciudad de Mexico,2024-02-08T17:37:15,2024-02-08T18:51:15,12.4,163.56,cash
TRIP03523,USR0232,SC0184,Ciudad de Mexico,2024-06-29T02:51:05,2024-06-29T04:18:05,0.9,19.66,qr_code
TRIP04005,USR0239,SC0183,GDL,2024-12-10T16:28:37,2024-12-10T17:06:37,3.58,38.53,wallet
TRIP02579,USR0202,SC0114,Ciudad de Mexico,2024-11-05T07:30:23,2024-11-05T08:52:23,3.87,50.14,debit_card
TRIP01514,,SC0112,Ciudad de Mexico,2025-04-21T08:20:00,2025-04-21T08:30:00,8.66,119.66,wallet
TRIP02190,USR0247,SC0127,cdmx,2024-06-15T21:06:26,2024-06-15T22:16:26,6.01,76.21,qr_code
TRIP02297,USR0331,SC0123,MTY,2024-10-03T19:55:32,2024-10-03T20:27:32,9.19,81.11,wallet
TRIP04719,USR0098,SC0187,GDL,2024-02-19T08:14:06,2024-02-19T09:05:06,8.82,122.65,wallet
TRIP02507,USR0214,SC0111,GDL,2024-06-14T17:47:31,2024-06-14T18:52:31,1.49,$31.86,cash
TRIP03441,USR0493,SC0196,Guadalajara,2024-11-26T06:17:44,2024-11-26T07:07:44,8.01,121.13,wallet
TRIP02267,USR0444,SC0099,Guadalajara,2025-06-12T00:41:23,2025-06-12T01:46:23,5.74,92.95,cash
TRIP03828,USR0470,SC0152,Monterrey,2024-08-27T07:54:15,2024-08-27T08:53:15,0.69,24.68,qr_code
TRIP01037,USR0205,SC0162,MTY,2024-05-01T17:13:18,2024-05-01T18:42:18,10.87,$127.32,debit_card
TRIP02138,USR0074,SC0132,Ciudad de Mexico,2024-05-14T20:21:06,2024-05-14T21:47:06,2.62,49.93,debit_card
TRIP01943,USR0188,SC0160,Ciudad de Mexico,2024-04-23T20:17:48,2024-04-23T21:24:48,4.15,52.12,qr_code
TRIP04317,USR0455,SC0228,MTY,2024-08-22T23:38:06,2024-08-23T01:06:06,10.83,$160.00,qr_code
TRIP03004,USR0489,SC0139,MTY,2024-12-30T12:31:05,2024-12-30T13:16:05,3.87,70.46,qr_code
TRIP03428,USR0497,SC0121,Monterrey,2024-08-20T08:38:58,2024-08-20T09:05:58,5.5,64.05,qr_code
TRIP04393,USR0384,SC0095,Ciudad de Mexico,2025-05-23T13:10:12,2025-05-23T14:26:12,1.68,34.85,cash
TRIP04839,USR0008,SC0057,Ciudad de Mexico,2024-10-02T05:49:58,2024-10-02T06:19:58,12.86,192.09,debit_card
TRIP02250,USR0065,SC0197,Monterrey,2024-01-24T19:21:50,2024-01-24T20:06:50,1.93,35.57,cash
TRIP00834,USR0375,SC0049,Monterrey,2025-05-27T19:17:21,2025-05-27T19:39:21,1.39,23.38,credit_card
TRIP04871,USR0498,SC0110,GDL,2025-03-27T11:50:42,2025-03-27T11:26:42,3.02,43.8,debit_card
TRIP02367,USR0369,SC0097,Guadalajara,2025-01-27T13:37:26,2025-01-27T14:42:26,8.95,85.99,cash
TRIP03317,USR0103,SC0074,cdmx,2024-05-04T07:04:41,2024-05-04T08:02:41,12.96,$171.28,cash
TRIP03603,USR0074,SC0102,MTY,2025-04-17T20:47:57,2025-04-17T21:54:57,9.9,146.91,credit_card
TRIP02336,USR0242,SC0166,cdmx,2024-11-08T18:59:40,2024-11-08T19:44:40,7.68,108.13,debit_card
TRIP03388,USR0307,SC0003,CDMX,2024-08-27T06:27:22,2024-08-27T07:50:22,7.24,83.42,debit_card
TRIP04251,USR0152,SC0092,Monterrey,2024-02-15T18:19:21,2024-02-15T19:27:21,3.21,36.31,qr_code
TRIP02495,USR0170,SC0031,GDL,2025-06-27T11:32:51,2025-06-27T12:28:51,9.56,154.3,wallet
TRIP00571,USR0027,SC0009,Ciudad de Mexico,2024-09-25T16:48:01,2024-09-25T17:36:01,13.05,194.82,credit_card
TRIP03905,USR0069,SC0165,Guadalajara,2024-01-22T09:10:07,2024-01-22T09:03:07,11.82,$173.03,credit_card
TRIP02587,USR0374,SC0001,MTY,2024-08-28T07:19:20,2024-08-28T07:50:20,14.5,159.66,cash
TRIP01642,USR0149,SC0027,CDMX,2024-04-29T18:39:05,2024-04-29T19:10:05,1.07,28.62,debit_card
TRIP04164,USR0459,SC0051,cdmx,2025-02-10T07:26:31,2025-02-10T08:01:31,2.95,32.69,debit_card
TRIP03414,USR0180,SC0185,Ciudad de Mexico,2025-03-11T19:57:09,2025-03-11T21:01:09,9.44,$144.22,credit_card
TRIP01488,USR0091,SC0168,Monterrey,2025-03-06T17:28:21,2025-03-06T18:36:21,13.09,120.38,qr_code
TRIP02914,USR0100,SC0051,Ciudad de Mexico,2025-01-26T14:45:19,2025-01-26T15:55:19,6.97,78.26,cash
TRIP01956,USR0392,SC0121,MTY,2024-12-04T12:57:26,2024-12-04T13:48:26,13.49,171.69,cash
TRIP04057,USR0356,SC0157,cdmx,2025-01-01T07:23:30,2025-01-01T07:36:30,8.76,106.09,qr_code
